UKPRN,HE Provider,Algeria,Angola,Benin,Botswana,Burkina Faso,Burundi,Cameroon,Cape Verde,Central African Republic,Chad,Comoros,Congo,Congo (Democratic Republic) {formerly Zaire},Djibouti,Egypt,Equatorial Guinea,Eritrea,Ethiopia,Gabon,"Gambia, The",Ghana,Guinea,Guinea-Bissau,Ivory Coast,Kenya,Kingdom of eSwatini,Lesotho,Liberia,Libya,Madagascar,Malawi,Mali,Mauritania,Mauritius,Morocco,Mozambique,Namibia,Niger,Nigeria,Rwanda,Sao Tome And Principe,Senegal,Seychelles,Sierra Leone,Somalia,South Africa,South Sudan,"St Helena, Ascension and Tristan da Cunha",Sudan,Swaziland,Tanzania,Togo,Tunisia,Uganda,Western Sahara,Zambia,Zimbabwe,Africa not otherwise specified,Total Africa,Total
10007789,The University of East Anglia,5,0,0,5,0,0,5,0,0,0,0,0,0,0,10,0,0,0,0,0,10,0,0,0,15,0,0,0,0,0,5,0,0,25,0,0,0,0,95,0,0,0,0,0,0,5,0,0,5,0,5,0,0,0,0,5,10,0,215,"3,055"
10007144,The University of East London,5,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,5,15,0,0,0,5,0,0,0,0,0,0,0,0,5,15,0,5,0,215,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,300,"5,220"
10032282,The Queen's Foundation for Ecumenical Theological Education,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
10007823,Edge Hill University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,40,425
10007772,Edinburgh Napier University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,375,0,0,5,0,0,0,10,0,0,5,0,0,0,0,5,0,0,10,0,440,"3,365"
10007790,The University of Edinburgh,0,0,0,15,0,0,5,0,0,0,0,0,0,0,35,0,0,5,0,5,30,0,0,0,60,0,0,0,0,0,10,0,0,15,5,0,5,0,50,10,0,0,5,0,0,175,0,0,5,0,10,0,5,5,0,25,35,0,530,"15,590"
10042570,Escape Studios,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65
10007791,The University of Essex,0,0,0,5,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,15,0,0,0,10,0,0,0,0,0,5,0,0,5,0,0,0,0,175,0,0,0,0,0,0,10,0,0,0,0,5,0,0,10,0,5,10,0,315,"5,975"
10008173,University College of Estate Management,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10002313,ESCP Europe Business School,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,525
10007792,The University of Exeter,10,5,0,15,0,0,5,0,0,0,0,0,0,0,25,0,0,5,0,0,25,0,0,0,20,0,0,0,5,0,5,0,0,30,10,0,0,0,95,5,0,0,0,0,0,50,0,0,0,0,5,0,5,10,0,10,15,0,365,"7,630"
